Studio Color Code	BL Color Code	LDraw Color Code	LDD color code	Studio Color Name	BL Color Name	LDraw Color Name	LDD Color Name	RGB value	Alpha	CategoryName	Color Group Index		Ins_RGB	Ins_CMYK
11	11	0	26	Black	Black	Black	Black	#040000	1	Solid Colors	-1	o		86,36,0,89
11		0	1012	Black		Black	CONDUCT.Black	#04121C	1	Solid Colors	-1	from_lego		
7	7	1	23	Blue	Blue	Blue	Bright Blue	#0054BE	1	Solid Colors	17	o		100,56,0,25
6	6	2	28	Green	Green	Green	Dark green	#24793D	1	Solid Colors	12	o		70,0,50,53
6		2	186	Green		Green	Metallic Dark Green	#24793D	1	Solid Colors	12	from_lego		
6		2	210	Green		Green	Faded Green	#24793D	1	Solid Colors	12	from_lego		
39	39	3	107	Dark Turquoise	Dark Turquoise	Dark_Turquoise	Bright bluish green	#00828E	1	Solid Colors	15	o		100,8,0,44
5	5	4	21	Red	Red	Red	Bright red	#C81908	1	Solid Colors	1	o		0,88,96,22
47	47	5	221	Dark Pink	Dark Pink	Dark_Pink	Bright Purple	#C76F9F	1	Solid Colors	0	o		0,44,20,22
8	8	6	25	Brown	Brown	Brown	Earth Orange	#573826	1	Solid Colors	4	o		0,36,56,66
8		6	108	Brown		Brown	Earth Yellow	#573826	1	Solid Colors	4	from_lego		0,36,56,66
9	9	7	2	Light Gray	Light Gray	Light_Gray	Grey	#9AA09C	1	Solid Colors	-1	o		4,0,2,37
10	10	8	27	Dark Gray	Dark Gray	Dark_Gray	Dark grey	#6C6D5B	1	Solid Colors	-1	o		1,0,17,57
62	62	9	45	Light Blue	Light Blue	Light_Blue	Light blue	#B3D1E2	1	Solid Colors	16	o		21,8,0,11
36	36	10	37	Bright Green	Bright Green	Bright_Green	Bright Green	#4A9E49	1	Solid Colors	12	o		53,0,54,38
40	40	11	116	Light Turquoise	Light Turquoise	Light_Turquoise	Med. bluish green	#54A4AE	1	Solid Colors	15	o		52,6,0,32
40		11	211	Light Turquoise	Light Turquoise	Light_Turquoise	Dark_Turquoise	#54A4AE	1	Solid Colors	15	from_lego		52,6,0,32
25	25	12	101	Salmon	Salmon	Salmon	Medium Red	#F16F5D	1	Solid Colors	2	o		0,54,61,5
23	23	13	9	Pink	Pink	Pink	Light Reddish Violate	#FB96AB	1	Solid Colors	0	o		0,40,32,2
23		13	17	Pink	Pink	Pink	Rose	#FB96AB	1	Solid Colors	0	from_lego		
23		13	1007	Pink	Pink	Pink	L.REDVIOL	#FB96AB	1	Solid Colors	0	from_lego		
3	3	14	24	Yellow	Yellow	Yellow	Bright yellow	#F1CC36	1	Solid Colors	8	o		0,15,78,5
1	1	15	1	White	White	White	White	#FEFEFE	1	Solid Colors	-1	o	#F6F6F6	0,0,0,0
-1	-1	16		CurrentColor	None	CurrentColor		#000000	1	Solid Colors	-1	to_bl		100,100,100,100
38	38	17	6	Light Green	Light Green	Light_Green	Light green	#C1D9B7	1	Solid Colors	11	o		11,0,16,15
33	33	18	3	Light Yellow	Light Yellow	Light_Yellow	Light yellow	#FAE595	1	Solid Colors	8	o		0,8,40,2
2	2	19	5	Tan	Tan	Tan	Brick yellow	#E3CC9D	1	Solid Colors	6	o		0,10,31,11
44	44	20	39	Light Violet	Light Violet	Light_Violet	Light bluish violet	#C8C9E1	1	Solid Colors	18	o		11,11,0,12
46	46	21	294	Glow in Dark Opaque	Glow in Dark Opaque	Glow_In_Dark_Opaque	Phosphorescent Green	#DFFEAF	0.9803922	Milky Colors	10	o		12,0,31,0
24	24	22	104	Purple	Purple	Purple	Bright violet	#80007A	1	Solid Colors	20	o		0,100,5,50
109	109	23	196	Dark Blue-Violet	Dark Blue-Violet	Dark_Blue_Violet	Dark Royal blue	#1F31AF	1	Solid Colors	18	o		82,72,0,31
-2	-1	24		EdgeColor	None	EdgeColor		#000000	1	Solid Colors	-1	to_bl		100,100,100,100
4	4	25	106	Orange	Orange	Orange	Bright orange	#FD8917	1	Solid Colors	5	o		0,46,91,1
71	71	26	124	Magenta	Magenta	Magenta	Bright reddish violet	#913877	1	Solid Colors	21	o		0,61,18,43
34	34	27	119	Lime	Lime	Lime	Br. yellowish green	#BAE80A	1	Solid Colors	9	o		20,0,96,9
69	69	28	138	Dark Tan	Dark Tan	Dark_Tan	Sand yellow	#948972	1	Solid Colors	6	o		0,7,23,42
104	104	29	222	Bright Pink	Bright Pink	Bright_Pink	Light Purple	#E3ACC7	1	Solid Colors	0	o		0,24,12,11
157	157	30	324	Medium Lavender	Medium Lavender	Medium_Lavender	Medium Lavender	#AB77B9	1	Solid Colors	20	o		8,36,0,27
154	154	31	325	Lavender	Lavender	Lavender	Lavender	#E0D4EC	1	Solid Colors	20	o		5,10,0,7
11	11	32	109	Black	Black	Trans_Black_IR_Lens	(PC) Black IR	#04121C	1	Solid Colors	-1	ignore,to_bl		
14	14	33	43	Trans-Dark Blue	Trans-Dark Blue	Trans_Dark_Blue	Tr. Blue	#001F9F	0.5019608	Transparent Colors	17	o		100,81,0,38
20	20	34	48	Trans-Green	Trans-Green	Trans_Green	Tr. Green	#227740	0.5019608	Transparent Colors	12	o		71,0,46,53
108		35	227	Trans-Bright Green	Trans-Bright Green	Trans_Bright_Green	Transparent Bright Yellowish Green	#55E545	0.5019608	Transparent Colors	12	from_lego		
108	108	35	311	Trans-Bright Green	Trans-Bright Green	Trans_Bright_Green	Transparent Bright Green	#55E545	0.5019608	Transparent Colors	12	o		63,0,70,10
17	17	36	41	Trans-Red	Trans-Red	Trans_Red	Tr. Red	#C81908	0.5019608	Transparent Colors	1	o		0,88,96,22
50	50	37	113	Trans-Dark Pink	Trans-Dark Pink	Trans_Dark_Pink	Tr. Medi. reddish violet	#DE6594	0.5019608	Transparent Colors	0	o		0,55,33,13
18	18	38	47	Trans-Neon Orange	Trans-Neon Orange	Trans_Neon_Orange	TR. Flu. Reddish orange	#FE7F0C	0.5019608	Transparent Colors	5	o		0,50,95,0
113	113	39	143	Trans-Very Lt Blue	Trans-Very Lt Blue	Trans_Very_Light_Blue	Transparent Fluorescent Blue	#C0DEEF	0.5019608	Transparent Colors	16	to_lego		20,7,0,6
13	13	40	111	Trans-Black	Trans-Black	Trans_Black	Tr. Brown	#625E51	0.5019608	Transparent Colors	-1	o		0,4,17,62
74	74	41	143	Trans-Medium Blue	Trans-Medium Blue	Trans_Medium_Blue	Tr. Flu. Blue	#5499B6	0.5019608	Transparent Colors	16	o		54,16,0,29
74		41	228	Trans-Medium Blue	Trans-Medium Blue	Trans_Medium_Blue	Tr. Flu. Blue	#5499B6	0.5019608	Transparent Colors	16	from_lego		54,16,0,29
16	16	42	49	Trans-Neon Green	Trans-Neon Green	Trans_Neon_Green	Trans_Medium_Blue	#BFFE00	0.5019608	Transparent Colors	9	o		25,0,100,0
15	15	43	42	Trans-Light Blue	Trans-Light Blue	Trans_Light_Blue	Tr. Lg blue	#ADE8EE	0.5019608	Transparent Colors	16	o		27,3,0,7
114		44	236	Trans-Light Purple	Trans-Light Purple	Trans_Light_Purple	Transparent Bright Reddish Lilac	#956F9E	0.5019608	Transparent Colors	21	from_lego		6,30,0,38
114	114	44	284	Trans-Light Purple	Trans-Light Purple	Trans_Light_Purple	TR. RED-LILAC	#956F9E	0.5019608	Transparent Colors	21	o		6,30,0,38
107		45	158	Trans-Pink	Trans-Pink	Trans_Pink	Transparent Fluorescent Red	#FB96AB	0.5019608	Transparent Colors	0	from_lego		
107	107	45	230	Trans-Pink	Trans-Pink	Trans_Pink	Transparent Bright Purple	#FB96AB	0.5019608	Transparent Colors	0	o		0,40,32,2
19	19	46	44	Trans-Yellow	Trans-Yellow	Trans_Yellow	Tr. Yellow	#F4CC2E	0.5019608	Transparent Colors	8	o		0,16,81,4
12	12	47	40	Trans-Clear	Trans-Clear	Trans_Clear	Transparent	#FBFBFB	0.5019608	Transparent Colors	-1	o	#EBEBEB	0,0,0,2
51	51	52	126	Trans-Purple	Trans-Purple	Trans_Purple	Tr. Bright bluish violet	#A4A4CA	0.5019608	Transparent Colors	20	o		19,19,0,21
